2024-03-05 10:43:27,663 | root | INFO | Archivo seleccionado: /Users/ronald/Work/gitrepo/parquet-viewer-python/datasample/datasample.parquet
2024-03-05 10:47:20,048 | root | INFO | Archivo seleccionado: /Users/ronald/Work/gitrepo/parquet-viewer-python/datasample/datasample.parquet
2024-03-05 10:48:40,519 | root | INFO | Archivo seleccionado: /Users/ronald/Work/gitrepo/parquet-viewer-python/datasample/datasample.parquet
2024-03-05 10:48:41,091 | root | INFO | Archivo parquet leído: /Users/ronald/Work/gitrepo/parquet-viewer-python/datasample/datasample.parquet
2024-03-05 10:48:41,091 | root | INFO | Registros: 10000
2024-03-05 10:48:41,091 | root | INFO | Columnas: Index(['name', 'lastname', 'email', 'birth_date', 'country', 'id'], dtype='object')
2024-03-05 11:44:41,446 | root | INFO | Archivo seleccionado: /Users/ronald/Work/gitrepo/parquet-viewer-python/datasample/datasample.parquet
2024-03-05 11:44:41,645 | root | INFO | Archivo parquet leído: /Users/ronald/Work/gitrepo/parquet-viewer-python/datasample/datasample.parquet
2024-03-05 11:44:41,646 | root | INFO | Registros: 10000
2024-03-05 11:44:41,646 | root | INFO | Columnas: Index(['name', 'lastname', 'email', 'birth_date', 'country', 'id'], dtype='object')
2024-03-05 11:51:11,946 | root | INFO | Archivo seleccionado: /Users/ronald/Work/gitrepo/parquet-viewer-python/datasample/datasample.parquet
2024-03-05 11:51:12,143 | root | INFO | Archivo parquet leído: /Users/ronald/Work/gitrepo/parquet-viewer-python/datasample/datasample.parquet
2024-03-05 11:51:12,143 | root | INFO | Registros: 10000
2024-03-05 11:51:12,144 | root | INFO | Columnas: Index(['name', 'lastname', 'email', 'birth_date', 'country', 'id'], dtype='object')
2024-03-05 11:52:55,628 | root | INFO | Archivo seleccionado: /Users/ronald/Work/gitrepo/parquet-viewer-python/datasample/datasample.parquet
2024-03-05 11:52:55,695 | root | INFO | Archivo parquet leído: /Users/ronald/Work/gitrepo/parquet-viewer-python/datasample/datasample.parquet
2024-03-05 11:52:55,695 | root | INFO | Registros: 10000
2024-03-05 11:52:55,695 | root | INFO | Columnas: Index(['name', 'lastname', 'email', 'birth_date', 'country', 'id'], dtype='object')
2024-03-05 11:54:06,745 | root | INFO | Archivo seleccionado: /Users/ronald/Work/gitrepo/parquet-viewer-python/datasample/datasample.parquet
2024-03-05 11:54:06,814 | root | INFO | Archivo parquet leído: /Users/ronald/Work/gitrepo/parquet-viewer-python/datasample/datasample.parquet
2024-03-05 11:54:06,815 | root | INFO | Registros: 10000
2024-03-05 11:54:06,815 | root | INFO | Columnas: ['name', 'lastname', 'email', 'birth_date', 'country', 'id']
2024-03-05 11:56:24,209 | root | INFO | Archivo seleccionado: /Users/ronald/Work/gitrepo/parquet-viewer-python/datasample/datasample.parquet
2024-03-05 11:56:24,279 | root | INFO | Archivo parquet leído: /Users/ronald/Work/gitrepo/parquet-viewer-python/datasample/datasample.parquet
2024-03-05 11:56:24,280 | root | INFO | Registros: 10000
2024-03-05 11:56:24,280 | root | INFO | Columnas: ['name', 'lastname', 'email', 'birth_date', 'country', 'id']
2024-03-05 12:09:23,132 | root | INFO | Archivo seleccionado: /Users/ronald/Work/gitrepo/parquet-viewer-python/datasample/datasample.parquet
2024-03-05 12:09:23,333 | root | INFO | Archivo parquet leído: /Users/ronald/Work/gitrepo/parquet-viewer-python/datasample/datasample.parquet
2024-03-05 12:09:23,333 | root | INFO | Registros: 10000
2024-03-05 12:09:23,333 | root | INFO | Columnas: ['name', 'lastname', 'email', 'birth_date', 'country', 'id']
2024-03-05 12:21:20,864 | root | INFO | Leyendo: datasample.parquet
2024-03-05 12:21:20,937 | root | INFO | Archivo parquet leído: /Users/ronald/Work/gitrepo/parquet-viewer-python/datasample/datasample.parquet
2024-03-05 12:21:20,937 | root | INFO | Registros: 10000
2024-03-05 12:21:20,937 | root | INFO | Columnas: ['name', 'lastname', 'email', 'birth_date', 'country', 'id']
